"Reference","Value","Description","Manufacturer","Manufacturer Part No","Qty"
"C1, C2","1µF 6.3V","CAP CER 1UF 6.3V X7R 0603","Samsung Electro-Mechanics","CL10B105KQ8NFNC","2"
"C3, C15","2.2µF","CAP CER 2.2UF 16V X5R 0603","Kyocera AVX","KGM15AR51C225MT","2"
"C4","10µF 50V","CAP CER 10UF 50V X7R 1210","Murata Electronics","GRM32ER71H106MA12L","1"
"C5","100µF 35V","CAP ALUM 100UF 20% 35V RADIAL","Rubycon","35ZLJ100M6.3X11","1"
"C6-C8","10µF 50V","CAP CER 10UF 50V X5R 1206","Murata Electronics","GRT31CR61H106KE01L","3"
"C9","0.1µF 50V","CAP CER 0.1UF 50V X7R 1206","Samsung Electro-Mechanics","CL31B104KBCNFNC","1"
"C10, C14, C16","0.1µF 50V","CAP CER 0.1UF 50V X7R 0603","Samsung Electro-Mechanics","CL10B104KB8NFNC","3"
"C11-C13","22µF 10V","CAP CER 22UF 10V X7R 0805","Murata Electronics","GRM21BZ71A226ME15L","3"
"J1","POWER","TERM BLK 2P TOP ENTRY 2.5MM PCB","Phoenix Contact","1770953","1"
"J2","PORT_A","TERM BLK 6P TOP ENTRY 2.5MM PCB","Phoenix Contact","1770995","1"
"J3","PORT_B","TERM BLK 6P TOP ENTRY 2.5MM PCB","Phoenix Contact","1770995","1"
"L1","1µH","FIXED IND 1UH 12A 10 MOHM SMD","Pulse Electronics","BMRA000606301R0MA1","1"
"L2","3.3µH","FIXED IND 3.3UH 20.2A 5.44 MOHM","Vishay Dale","IHLP5050FDER3R3M51","1"
"R1","49.9KΩ","RES SMD 49.9K OHM 1% 1/10W 0603","Panasonic Electronic Components","ERJ-3EKF4992V","1"
"R2","20KΩ","RES SMD 20K OHM 5% 1/10W 0603","Vishay Dale","CRCW060320K0JNEA","1"
"R3, R6","5.1KΩ","RES 5.1K OHM 5% 1/10W 0603","Vishay Dale","CRCW06035K10JNEAC","2"
"R4","15KΩ","RES SMD 15K OHM 0.5% 1/10W 0603","YAGEO","RT0603DRE0715KL","1"
"R5","100KΩ","RES SMD 100K OHM 1% 1/10W 0603","Vishay Dale","CRCW0603100KFKEA","1"
"TH1","470KΩ","THERM NTC 470KOHM 4500K 0603","Murata Electronics","NCP18WM474E03RB","1"
"U1","TPS25858-Q1","Dual 3A USB Type-C Charging Ports Controller with Programmable Current Limit and Thermal Management, RPQ0025A (VQFN-25)","Texas Instruments","TPS25858QRPQRQ1","1"
